linia_lotnicza,N,srednia,ci_dol,ci_gora
EZS,38,26.21,12.1,45.82
LS,67,25.9,20.45,32.15
SN,34,23.29,18.0,29.38
EJU,94,22.21,16.79,28.97
LX,100,22.06,19.13,25.8
EZY,182,21.83,18.46,25.52
EN,48,19.73,14.54,26.08
KL,234,18.66,16.68,20.82
TK,52,18.54,15.17,22.62
W4,40,17.5,13.82,21.38
LH,294,17.43,15.37,19.73
BA,48,17.33,11.37,24.65
D8,71,16.69,5.34,37.41
LO,513,16.63,15.27,18.13
EW,49,16.59,12.92,20.98
FR,3415,16.45,15.45,17.52
AF,30,12.6,9.23,16.23
W6,850,12.52,11.54,13.56
AY,127,10.19,8.13,12.32
SK,85,9.6,7.16,12.14
OS,49,7.35,5.0,9.92
DY,172,6.93,5.58,8.47
