para,mediana_a,mediana_b,p_bonferroni,werdykt
DY vs KL,4.0,14.0,9.209913419780861e-25,istotny
DY vs LO,4.0,13.0,1.4449666322313107e-23,istotny
DY vs LX,4.0,20.0,6.979307540581625e-23,istotny
DY vs EZY,4.0,15.0,5.724162211022783e-17,istotny
DY vs LH,4.0,12.0,1.8078872196244494e-16,istotny
DY vs LS,4.0,19.0,1.8224051955932194e-16,istotny
D8 vs LX,5.0,20.0,1.535374128509742e-13,istotny
DY vs FR,4.0,9.0,1.9037875500920817e-12,istotny
KL vs W6,14.0,8.0,2.7500771344166123e-12,istotny
AY vs LX,6.0,20.0,4.357484924500821e-12,istotny
D8 vs KL,5.0,14.0,6.238900065033859e-12,istotny
LX vs W6,20.0,8.0,1.5934460523643904e-11,istotny
LO vs W6,13.0,8.0,2.960044686225131e-11,istotny
AY vs KL,6.0,14.0,8.047039394994652e-11,istotny
DY vs TK,4.0,15.0,1.213770370863353e-10,istotny
D8 vs LS,5.0,19.0,1.5264529606161207e-10,istotny
FR vs KL,9.0,14.0,4.02654014586034e-10,istotny
LX vs SK,20.0,7.0,6.046131977138519e-10,istotny
DY vs SN,4.0,19.0,6.850753639210896e-10,istotny
LX vs OS,20.0,5.0,8.34212861516114e-10,istotny
D8 vs LO,5.0,13.0,1.0679762628037162e-09,istotny
FR vs LX,9.0,20.0,1.3121672575633125e-09,istotny
FR vs LO,9.0,13.0,2.7445641931581095e-09,istotny
DY vs EJU,4.0,13.5,8.414032381092124e-09,istotny
AY vs LS,6.0,19.0,1.0391430139833025e-08,istotny
AY vs LO,6.0,13.0,1.6246239552517946e-08,istotny
D8 vs EZY,5.0,15.0,2.4118657460762497e-08,istotny
KL vs SK,14.0,7.0,3.660248083755927e-08,istotny
KL vs OS,14.0,5.0,6.776513387716332e-08,istotny
LS vs OS,19.0,5.0,7.18994146178384e-08,istotny
DY vs W6,4.0,8.0,1.864323272446111e-07,istotny
LS vs SK,19.0,7.0,1.9176579262987393e-07,istotny
D8 vs LH,5.0,12.0,3.549199808838178e-07,istotny
D8 vs SN,5.0,19.0,3.7527422970801196e-07,istotny
LS vs W6,19.0,8.0,4.3087902412609796e-07,istotny
D8 vs TK,5.0,15.0,5.354057735580904e-07,istotny
AY vs EZY,6.0,15.0,1.2616990453816431e-06,istotny
DY vs W4,4.0,16.0,1.36140459152085e-06,istotny
DY vs EN,4.0,16.0,1.368569120720531e-06,istotny
DY vs EW,4.0,13.0,4.850988332759136e-06,istotny
LO vs SK,13.0,7.0,5.2515378042429595e-06,istotny
LO vs OS,13.0,5.0,5.505562841980985e-06,istotny
OS vs SN,5.0,19.0,1.157391747375902e-05,istotny
FR vs LS,9.0,19.0,1.325442521153207e-05,istotny
EZY vs W6,15.0,8.0,1.4107335643124546e-05,istotny
EZY vs OS,15.0,5.0,1.9172436253856277e-05,istotny
AY vs LH,6.0,12.0,1.923321261343856e-05,istotny
AY vs SN,6.0,19.0,2.3275701545527586e-05,istotny
OS vs TK,5.0,15.0,3.160547388085045e-05,istotny
AY vs TK,6.0,15.0,3.952947573884731e-05,istotny
EZY vs SK,15.0,7.0,4.677998114243385e-05,istotny
SK vs SN,7.0,19.0,7.486273785337663e-05,istotny
D8 vs EJU,5.0,13.5,9.29080758931354e-05,istotny
LH vs W6,12.0,8.0,0.00014501895787846411,istotny
SK vs TK,7.0,15.0,0.00018346112574330306,istotny
LH vs OS,12.0,5.0,0.0002111660583543897,istotny
D8 vs W4,5.0,16.0,0.00021649162076073199,istotny
D8 vs EN,5.0,16.0,0.000357576755266302,istotny
LH vs SK,12.0,7.0,0.0006320390873867471,istotny
D8 vs FR,5.0,9.0,0.0008604268714000822,istotny
D8 vs EW,5.0,13.0,0.0009493115727372319,istotny
EZY vs FR,15.0,9.0,0.0010181726804648096,istotny
SN vs W6,19.0,8.0,0.0012227049369623476,istotny
TK vs W6,15.0,8.0,0.002487445234432266,istotny
BA vs DY,10.0,4.0,0.0029934271001703728,istotny
OS vs W4,5.0,16.0,0.003052143333312366,istotny
EJU vs OS,13.5,5.0,0.004157749039089977,istotny
EN vs OS,16.0,5.0,0.005689477656352537,istotny
AY vs EJU,6.0,13.5,0.0070659851639960965,istotny
AY vs W4,6.0,16.0,0.010348702600285592,istotny
FR vs SN,9.0,19.0,0.010398071810906292,istotny
EW vs OS,13.0,5.0,0.012893454683848116,istotny
FR vs LH,9.0,12.0,0.013708728709671155,istotny
AY vs EN,6.0,16.0,0.01850543689599745,istotny
LH vs LX,12.0,20.0,0.019801626073912844,istotny
SK vs W4,7.0,16.0,0.021946179532495964,istotny
EJU vs SK,13.5,7.0,0.027751451859687082,istotny
FR vs TK,9.0,15.0,0.029165111217748323,istotny
