linia,n,mediana,mediana_ci_low,mediana_ci_high,srednia,iqr,pct_opozn,pct_odwol
LX,100,20.0,17.0,22.5,22.1,15.2,64.0,2.9
LS,67,19.0,14.0,24.1,25.9,24.5,53.7,0.0
SN,34,19.0,14.5,27.5,23.3,17.5,61.8,0.0
EN,48,16.0,9.0,20.0,19.7,18.2,50.0,2.0
W4,40,16.0,10.0,21.0,17.5,16.5,50.0,0.0
EZY,182,15.0,12.0,17.0,21.8,19.8,46.2,0.0
TK,52,15.0,13.0,18.5,18.5,12.2,46.2,3.7
KL,234,14.0,13.0,16.0,18.7,15.0,44.4,0.4
EJU,94,13.5,11.0,16.5,22.2,20.2,42.6,0.0
EW,49,13.0,9.0,18.0,16.6,17.0,40.8,3.9
AF,30,13.0,8.0,16.5,12.6,12.8,36.7,3.2
LO,513,13.0,12.0,13.0,16.6,12.0,38.0,1.5
EZS,38,12.5,5.0,15.0,26.2,14.2,31.6,0.0
LH,294,12.0,11.0,15.0,17.4,18.0,43.5,12.5
BA,48,10.0,7.0,15.0,17.3,15.0,35.4,0.0
FR,3415,9.0,8.0,9.0,16.4,15.0,31.1,0.6
W6,850,8.0,8.0,9.0,12.5,10.0,21.8,0.8
SK,85,7.0,5.0,9.0,9.6,11.0,14.1,2.3
AY,127,6.0,4.0,9.0,10.2,16.5,26.8,1.6
D8,71,5.0,2.0,6.0,16.7,9.5,14.1,0.0
OS,49,5.0,4.0,7.0,7.3,9.0,8.2,0.0
DY,172,4.0,2.0,5.0,6.9,9.0,15.1,0.0
