id,data_lotu,numer_lotu,linia_lotnicza,kierunek,czas_planowany,czas_rzeczywisty,status,ostatnia_aktualizacja
1,2026-04-13,LO 3910,LO,WARSZAWA (WAW),2026-04-13 05:40:00,2026-04-13 05:49:00,Wystartował 05:49,2026-04-14 17:49:32
2,2026-04-13,W6 2035,W6,BERGEN (BGO),2026-04-13 05:40:00,2026-04-13 05:47:00,Wystartował 05:47,2026-04-14 17:49:32
3,2026-04-13,FR 6216,FR,OSLO TORP (TRF),2026-04-13 05:50:00,2026-04-13 05:53:00,Wystartował 05:53,2026-04-14 17:49:32
4,2026-04-13,FR 1902,FR,DUBLIN (DUB),2026-04-13 06:00:00,2026-04-13 06:55:00,Wystartował 06:55,2026-04-14 17:49:32
5,2026-04-13,FR 5412,FR,MARSYLIA (MRS),2026-04-13 06:00:00,2026-04-13 06:14:00,Wystartował 06:14,2026-04-14 17:49:32
6,2026-04-13,LH 1627,LH,MONACHIUM (MUC),2026-04-13 06:00:00,,Odwołany,2026-04-14 17:49:32
7,2026-04-13,W6 2007,W6,LONDYN GATWICK (LGW),2026-04-13 06:00:00,2026-04-13 06:13:00,Wystartował 06:13,2026-04-14 17:49:32
8,2026-04-13,W6 2047,W6,BARCELONA (BCN),2026-04-13 06:00:00,2026-04-13 06:21:00,Wystartował 06:21,2026-04-14 17:49:32
9,2026-04-13,LH 1371,LH,FRANKFURT (FRA),2026-04-13 06:10:00,,Odwołany,2026-04-14 17:49:32
10,2026-04-13,FR 8975,FR,SOFIA (SOF),2026-04-13 06:15:00,2026-04-13 06:08:00,Wystartował 06:08,2026-04-14 17:49:32
11,2026-04-13,KL 1322,KL,AMSTERDAM (AMS),2026-04-13 06:30:00,2026-04-13 06:43:00,Wystartował 06:43,2026-04-14 17:49:32
12,2026-04-13,W6 2039,W6,WILNO (VNO),2026-04-13 06:30:00,2026-04-13 06:39:00,Wystartował 06:39,2026-04-14 17:49:32
13,2026-04-13,FR 083,FR,RZYM CIAMPINO (CIA),2026-04-13 06:35:00,2026-04-13 06:25:00,Wystartował 06:25,2026-04-14 17:49:32
14,2026-04-13,FR 2363,FR,LONDYN STANSTED (STN),2026-04-13 06:45:00,2026-04-13 06:50:00,Wystartował 06:50,2026-04-14 17:49:32
15,2026-04-13,FR 7273,FR,ZADAR (ZAD),2026-04-13 06:55:00,2026-04-13 06:52:00,Wystartował 06:52,2026-04-14 17:49:32
16,2026-04-13,LO 2163,LO,BARCELONA (BCN),2026-04-13 07:00:00,2026-04-13 07:13:00,Wystartował 07:13,2026-04-14 17:49:32
17,2026-04-13,FR 1812,FR,LONDYN LUTON (LTN),2026-04-13 07:05:00,2026-04-13 07:09:00,Wystartował 07:09,2026-04-14 17:49:32
18,2026-04-13,FR 3536,FR,MEDIOLAN BERGAMO (BGY),2026-04-13 07:05:00,2026-04-13 07:07:00,Wystartował 07:07,2026-04-14 17:49:32
19,2026-04-13,FR 2380,FR,PERUGIA (PEG),2026-04-13 07:20:00,2026-04-13 07:23:00,Wystartował 07:23,2026-04-14 17:49:32
20,2026-04-13,FR 6625,FR,EDYNBURG (EDI),2026-04-13 07:20:00,2026-04-13 07:25:00,Wystartował 07:25,2026-04-14 17:49:32
21,2026-04-13,FR 9017,FR,CASTELLON (CDT),2026-04-13 07:45:00,2026-04-13 07:49:00,Wystartował 07:49,2026-04-14 17:49:32
22,2026-04-13,XQ 433,XQ,ANTALIA (AYT),2026-04-13 07:55:00,2026-04-13 08:05:00,Wystartował 08:05,2026-04-14 17:49:32
23,2026-04-13,FR 4010,FR,GÖTEBORG LANDVETTER (GOT),2026-04-13 08:00:00,2026-04-13 08:07:00,Wystartował 08:07,2026-04-14 17:49:32
24,2026-04-13,FR 2333,FR,LEEDS BRADFORD (LBA),2026-04-13 08:10:00,2026-04-13 08:14:00,Wystartował 08:14,2026-04-14 17:49:32
25,2026-04-13,FR 5087,FR,PAFOS (PFO),2026-04-13 08:10:00,2026-04-13 08:18:00,Wystartował 08:18,2026-04-14 17:49:32
26,2026-04-13,FR 2724,FR,KOPENHAGA (CPH),2026-04-13 08:15:00,2026-04-13 08:24:00,Wystartował 08:24,2026-04-14 17:49:32
27,2026-04-13,AY 1162,AY,HELSINKI (HEL),2026-04-13 08:45:00,2026-04-13 09:12:00,Wystartował 09:12,2026-04-14 17:49:32
28,2026-04-13,FR 2174,FR,MEMMINGEN (FMM),2026-04-13 08:45:00,2026-04-13 08:59:00,Wystartował 08:59,2026-04-14 17:49:32
29,2026-04-13,LO 3904,LO,WARSZAWA (WAW),2026-04-13 08:50:00,2026-04-13 09:07:00,Wystartował 09:07,2026-04-14 17:49:32
30,2026-04-13,FR 6359,FR,LIVERPOOL (LPL),2026-04-13 08:55:00,2026-04-13 09:04:00,Wystartował 09:04,2026-04-14 17:49:32
31,2026-04-13,W4 2031,W4,RZYM FIUMICINO (FCO),2026-04-13 08:55:00,2026-04-13 09:02:00,Wystartował 09:02,2026-04-14 17:49:32
32,2026-04-13,D8 3806,D8,SZTOKHOLM ARLANDA (ARN),2026-04-13 09:10:00,2026-04-13 09:17:00,Wystartował 09:17,2026-04-14 17:49:32
33,2026-04-13,JU 157,JU,BELGRAD (BEG),2026-04-13 09:10:00,2026-04-13 09:22:00,Wystartował 09:22,2026-04-14 17:49:32
34,2026-04-13,FR 1466,FR,BIRMINGHAM (BHX),2026-04-13 09:35:00,2026-04-13 09:44:00,Wystartował 09:44,2026-04-14 17:49:32
35,2026-04-13,LH 1621,LH,MONACHIUM (MUC),2026-04-13 09:35:00,,Odwołany,2026-04-14 17:49:32
36,2026-04-13,LX 1371,LX,ZURYCH (ZRH),2026-04-13 09:35:00,2026-04-13 09:58:00,Wystartował 09:58,2026-04-14 17:49:32
37,2026-04-13,LO 2141,LO,RZYM FIUMICINO (FCO),2026-04-13 10:00:00,2026-04-13 10:08:00,Wystartował 10:08,2026-04-14 17:49:32
38,2026-04-13,EZY 8822,EZY,LONDYN GATWICK (LGW),2026-04-13 10:05:00,2026-04-13 10:15:00,Wystartował 10:15,2026-04-14 17:49:32
39,2026-04-13,RK 6807,RK,BELFAST (BFS),2026-04-13 10:05:00,2026-04-13 10:12:00,Wystartował 10:12,2026-04-14 17:49:32
40,2026-04-13,SK 1736,SK,KOPENHAGA (CPH),2026-04-13 10:05:00,2026-04-13 10:17:00,Wystartował 10:17,2026-04-14 17:49:32
41,2026-04-13,FR 2229,FR,WALENCJA (VLC),2026-04-13 10:15:00,2026-04-13 11:11:00,Wystartował 11:11,2026-04-14 17:49:32
42,2026-04-13,LG 5742,LG,LUKSEMBURG (LUX),2026-04-13 10:20:00,2026-04-13 10:40:00,Wystartował 10:40,2026-04-14 17:49:32
43,2026-04-13,FR 6232,FR,PALERMO (PMO),2026-04-13 10:25:00,2026-04-13 10:48:00,Wystartował 10:48,2026-04-14 17:49:32
44,2026-04-13,W6 2091,W6,LYON (LYS),2026-04-13 10:25:00,2026-04-13 10:43:00,Wystartował 10:43,2026-04-14 17:49:32
45,2026-04-13,EZY 3314,EZY,EDYNBURG (EDI),2026-04-13 10:30:00,2026-04-13 10:36:00,Wystartował 10:36,2026-04-14 17:49:32
46,2026-04-13,FR 3799,FR,BOLONIA (BLQ),2026-04-13 10:45:00,2026-04-13 12:03:00,Wystartował 12:03,2026-04-14 17:49:32
47,2026-04-13,FR 4512,FR,PALMA DE MALLORCA (PMI),2026-04-13 10:45:00,2026-04-13 11:00:00,Wystartował 11:00,2026-04-14 17:49:32
48,2026-04-13,FR 2589,FR,MALAGA (AGP),2026-04-13 10:55:00,2026-04-13 11:27:00,Wystartował 11:27,2026-04-14 17:49:32
49,2026-04-13,LH 1363,LH,FRANKFURT (FRA),2026-04-13 10:55:00,,Odwołany,2026-04-14 17:49:32
50,2026-04-13,FR 2142,FR,MANCHESTER (MAN),2026-04-13 11:10:00,2026-04-13 11:35:00,Wystartował 11:35,2026-04-14 17:49:32
51,2026-04-13,EZY 2938,EZY,BRISTOL (BRS),2026-04-13 11:25:00,2026-04-13 12:08:00,Wystartował 12:08,2026-04-14 17:49:32
52,2026-04-13,FR 6310,FR,OSLO TORP (TRF),2026-04-13 11:25:00,2026-04-13 11:39:00,Wystartował 11:39,2026-04-14 17:49:32
53,2026-04-13,FR 6734,FR,OLBIA (OLB),2026-04-13 11:25:00,2026-04-13 11:32:00,Wystartował 11:32,2026-04-14 17:49:32
54,2026-04-13,EZY 3490,EZY,LIVERPOOL (LPL),2026-04-13 11:30:00,2026-04-13 11:47:00,Wystartował 11:47,2026-04-14 17:49:32
55,2026-04-13,FR 2782,FR,RIMINI (RMI),2026-04-13 11:35:00,2026-04-13 13:16:00,Wystartował 13:16,2026-04-14 17:49:32
56,2026-04-13,KL 1324,KL,AMSTERDAM (AMS),2026-04-13 11:50:00,2026-04-13 11:56:00,Wystartował 11:56,2026-04-14 17:49:32
57,2026-04-13,FR 4426,FR,CAGLIARI (CAG),2026-04-13 12:00:00,2026-04-13 12:35:00,Wystartował 12:35,2026-04-14 17:49:32
58,2026-04-13,LO 3908,LO,WARSZAWA (WAW),2026-04-13 12:15:00,2026-04-13 13:07:00,Wystartował 13:07,2026-04-14 17:49:32
59,2026-04-13,DY 1041,DY,OSLO GARDERMOEN (OSL),2026-04-13 12:25:00,2026-04-13 12:33:00,Wystartował 12:33,2026-04-14 17:49:32
60,2026-04-13,AY 1166,AY,HELSINKI (HEL),2026-04-13 12:30:00,2026-04-13 12:25:00,Wystartował 12:25,2026-04-14 17:49:32
61,2026-04-13,FR 7932,FR,PIZA (PSA),2026-04-13 12:40:00,2026-04-13 12:38:00,Wystartował 12:38,2026-04-14 17:49:32
62,2026-04-13,LH 1365,LH,FRANKFURT (FRA),2026-04-13 12:40:00,,Odwołany,2026-04-14 17:49:32
63,2026-04-13,FR 6230,FR,SZCZECIN (SZZ),2026-04-13 12:45:00,2026-04-13 12:59:00,Wystartował 12:59,2026-04-14 17:49:32
64,2026-04-13,W6 2033,W6,OSLO GARDERMOEN (OSL),2026-04-13 12:45:00,2026-04-13 12:57:00,Wystartował 12:57,2026-04-14 17:49:32
65,2026-04-13,W6 5178,W6,TIRANA (TIA),2026-04-13 12:50:00,2026-04-13 13:04:00,Wystartował 13:04,2026-04-14 17:49:32
66,2026-04-13,DY 1029,DY,BERGEN (BGO),2026-04-13 13:00:00,2026-04-13 13:14:00,Wystartował 13:14,2026-04-14 17:49:32
67,2026-04-13,EW 9733,EW,DUSSELDORF (DUS),2026-04-13 13:00:00,,Odwołany,2026-04-14 17:49:32
68,2026-04-13,W6 4454,W6,SOFIA (SOF),2026-04-13 13:05:00,2026-04-13 13:30:00,Wystartował 13:30,2026-04-14 17:49:32
69,2026-04-13,LH 1623,LH,MONACHIUM (MUC),2026-04-13 13:25:00,,Odwołany,2026-04-14 17:49:32
70,2026-04-13,FR 237,FR,GDAŃSK (GDN),2026-04-13 13:35:00,2026-04-13 13:43:00,Wystartował 13:43,2026-04-14 17:49:32
71,2026-04-13,W6 2057,W6,BUKARESZT BANEASA (BBU),2026-04-13 13:35:00,2026-04-13 13:48:00,Wystartował 13:48,2026-04-14 17:49:32
72,2026-04-13,LO 2083,LO,NOWY JORK - NEWARK (EWR),2026-04-13 13:50:00,2026-04-13 14:26:00,Wystartował 14:26,2026-04-14 17:49:32
73,2026-04-13,W6 2029,W6,BAZYLEA (BSL),2026-04-13 13:50:00,2026-04-13 14:09:00,Wystartował 14:09,2026-04-14 17:49:32
74,2026-04-13,FR 7994,FR,RYGA (RIX),2026-04-13 13:55:00,2026-04-13 14:16:00,Wystartował 14:16,2026-04-14 17:49:32
75,2026-04-13,D8 3563,D8,KOPENHAGA (CPH),2026-04-13 14:00:00,2026-04-13 14:11:00,Wystartował 14:11,2026-04-14 17:49:32
76,2026-04-13,KL 1326,KL,AMSTERDAM (AMS),2026-04-13 14:05:00,2026-04-13 14:29:00,Wystartował 14:29,2026-04-14 17:49:32
