threshold,encoding,resampling,model,mean_f1,mean_balanced_accuracy,runs
5,label,smote,AdaBoost,0.7615975026146011,0.6248522301457754,3
5,label,smote,Gaussian NB (GNB),0.6207385420622767,0.5938845147072843,3
5,label,smote,Neural Network (MLP),0.6928642083690016,0.6272068749299512,3
5,label,smote,Random Forest,0.7969225902733822,0.6428207767017727,3
5,label,smote,XGBoost,0.8198494999751941,0.5872162316457056,3
5,label,smoteenn,AdaBoost,0.7202598787590192,0.6351413924735856,3
5,label,smoteenn,Gaussian NB (GNB),0.585274637019413,0.5909230080057996,3
5,label,smoteenn,Neural Network (MLP),0.673822178365692,0.6270780524367866,3
5,label,smoteenn,Random Forest,0.7616684292779862,0.6560188835965098,3
5,label,smoteenn,XGBoost,0.7706815425824933,0.6496261935081352,3
5,label,smotetomek,AdaBoost,0.7620384727613126,0.6226604997053545,3
5,label,smotetomek,Gaussian NB (GNB),0.6195930723087614,0.5937700508360703,3
5,label,smotetomek,Neural Network (MLP),0.6937244470557901,0.6284175409808436,3
5,label,smotetomek,Random Forest,0.7974212995405936,0.6426300027316917,3
5,label,smotetomek,XGBoost,0.8182807047869677,0.5968682337373633,3
5,label,undersample,AdaBoost,0.7126449996199712,0.6334118659804242,3
5,label,undersample,Gaussian NB (GNB),0.6314367543707833,0.5955133457701524,3
5,label,undersample,Neural Network (MLP),0.6891036000723251,0.6108694658412644,3
5,label,undersample,Random Forest,0.730719166456001,0.6603101154211991,3
5,label,undersample,XGBoost,0.7825895051313304,0.6338322965022337,3
5,onehot,smote,AdaBoost,0.7631231217261469,0.6305934414758697,5
5,onehot,smote,Gaussian NB (GNB),0.20101847475899115,0.535086562791423,5
5,onehot,smote,Neural Network (MLP),0.7190095306846608,0.6404876690633922,5
5,onehot,smote,Random Forest,0.7977980965684122,0.6503567602046704,5
5,onehot,smote,XGBoost,0.8198633999534035,0.5814023055001124,5
5,onehot,smoteenn,AdaBoost,0.7194772406095392,0.6399354161936183,3
5,onehot,smoteenn,Gaussian NB (GNB),0.22751098044509746,0.5394289857428984,3
5,onehot,smoteenn,Neural Network (MLP),0.7044381889698506,0.6365997144875648,3
5,onehot,smoteenn,Random Forest,0.7616495626143028,0.6582905223046159,3
5,onehot,smoteenn,XGBoost,0.7716509936344497,0.6490512634321575,3
5,onehot,smotetomek,AdaBoost,0.7626742440701791,0.6310108734763386,3
5,onehot,smotetomek,Gaussian NB (GNB),0.19584112016499192,0.5338262055578473,3
5,onehot,smotetomek,Neural Network (MLP),0.7274344654284167,0.6371752488377623,3
5,onehot,smotetomek,Random Forest,0.7957302277794877,0.6475646279076263,3
5,onehot,smotetomek,XGBoost,0.8206500496106107,0.5963809230126339,3
5,onehot,undersample,AdaBoost,0.7133290556755435,0.6384299534689989,3
5,onehot,undersample,Gaussian NB (GNB),0.21181952903145515,0.5386076346987531,3
5,onehot,undersample,Neural Network (MLP),0.7086163431933613,0.6363153078979431,3
5,onehot,undersample,Random Forest,0.7336315213017829,0.6630982574316481,3
5,onehot,undersample,XGBoost,0.7899646437763282,0.6317885482429905,3
10,label,smote,AdaBoost,0.6545106330072513,0.6550182558581952,3
10,label,smote,Gaussian NB (GNB),0.5744138514245928,0.6081471349085587,3
10,label,smote,Neural Network (MLP),0.6400594515407716,0.6351981362471139,3
10,label,smote,Random Forest,0.666109391756522,0.6815419470034466,3
10,label,smote,XGBoost,0.6939732683149288,0.6642154321884187,3
10,label,smoteenn,AdaBoost,0.6557186653890712,0.6500992024231106,3
10,label,smoteenn,Gaussian NB (GNB),0.5974665666886595,0.608253021442115,3
10,label,smoteenn,Neural Network (MLP),0.6393461570771203,0.63334957231549,3
10,label,smoteenn,Random Forest,0.6703727320048839,0.6730145677108564,3
10,label,smoteenn,XGBoost,0.673330734511758,0.6708350473313867,3
10,label,smotetomek,AdaBoost,0.6537780104530753,0.6565915994979362,3
10,label,smotetomek,Gaussian NB (GNB),0.5738379994207098,0.6076382168225137,3
10,label,smotetomek,Neural Network (MLP),0.6319550077263384,0.6388585609088008,3
10,label,smotetomek,Random Forest,0.6661418208595999,0.6810888996978367,3
10,label,smotetomek,XGBoost,0.6873900163222325,0.671318358066654,3
10,label,undersample,AdaBoost,0.652048291000987,0.6515591300898042,3
10,label,undersample,Gaussian NB (GNB),0.5709782838378928,0.6077585659017116,3
10,label,undersample,Neural Network (MLP),0.6239405130175423,0.6300729544418007,3
10,label,undersample,Random Forest,0.6719377654114744,0.6815926636052866,3
10,label,undersample,XGBoost,0.6929386468226354,0.658888376059545,3
10,onehot,smote,AdaBoost,0.6513151790934565,0.6516490381173542,3
10,onehot,smote,Gaussian NB (GNB),0.2119864113490381,0.5369601067508161,3
10,onehot,smote,Neural Network (MLP),0.650778414400889,0.6576822490972959,3
10,onehot,smote,Random Forest,0.6685200151828057,0.6806829879614531,3
10,onehot,smote,XGBoost,0.6942268364572475,0.6587720319230039,3
10,onehot,smoteenn,AdaBoost,0.6553790583539514,0.6489347239185664,3
10,onehot,smoteenn,Gaussian NB (GNB),0.30218918162786745,0.5534007410952627,3
10,onehot,smoteenn,Neural Network (MLP),0.6529433058781785,0.6570048399826234,3
10,onehot,smoteenn,Random Forest,0.6686770364050009,0.6723557516112427,3
10,onehot,smoteenn,XGBoost,0.6722099704747002,0.6694200048499468,3
10,onehot,smotetomek,AdaBoost,0.6513858577836927,0.6523161739660099,3
10,onehot,smotetomek,Gaussian NB (GNB),0.23172868127960142,0.541339288110558,3
10,onehot,smotetomek,Neural Network (MLP),0.6481586604490456,0.6586154974536697,3
10,onehot,smotetomek,Random Forest,0.666697040549533,0.6793108552704613,3
10,onehot,smotetomek,XGBoost,0.6921346169200641,0.6716802866992214,3
10,onehot,undersample,AdaBoost,0.6499412651456381,0.6485051821757198,3
10,onehot,undersample,Gaussian NB (GNB),0.20075789081736375,0.5350080586230549,3
10,onehot,undersample,Neural Network (MLP),0.6498591250491492,0.6556163400750625,3
10,onehot,undersample,Random Forest,0.6712054427073194,0.6787339923325785,3
10,onehot,undersample,XGBoost,0.6940572741983467,0.6558629782810544,3
15,label,smote,AdaBoost,0.5335143195361537,0.6434544217783843,3
15,label,smote,Gaussian NB (GNB),0.4987839638361777,0.6088353080015285,3
15,label,smote,Neural Network (MLP),0.5376751422823206,0.6406238304040413,3
15,label,smote,Random Forest,0.5482897591517305,0.6682754277414716,3
15,label,smote,XGBoost,0.5881930247559631,0.6851406358724622,3
15,label,smoteenn,AdaBoost,0.5544160755651536,0.6498281641366153,3
15,label,smoteenn,Gaussian NB (GNB),0.5160287088634687,0.6131401735489093,3
15,label,smoteenn,Neural Network (MLP),0.546383196535871,0.6424552959926787,3
15,label,smoteenn,Random Forest,0.5757910578322786,0.6789769924019794,3
15,label,smoteenn,XGBoost,0.5728045581367546,0.6731102309521466,3
15,label,smotetomek,AdaBoost,0.5302381104112549,0.64104094218272,3
